-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Notes: 
  Total_num: the numbers of add/sub in rtl
  Module Name: the module name of the instantiated module calling directly the add/sub sub module
  Location/Inst Name: if linefile info exists(no optimization), print the codes location of add/sub in rtl, else print the inst name
  Count: the amount of lutcarry for add/sub
  Number: the numbers of add/sub with the same lutcarry counts and linefile

Detailed RTL Component Info :
-----Add :
               Total_Num :18
-----Sub :
               Total_Num :4
-----AddSub :
               Total_Num :0

Add_Sub_AddSub: Initial Mapping Report :
|--------------------------------------------|---------|---------|---------|---------------------------------------------------------------------------------------------------------------------|
|Module Name                                 |Type     |Count    |Number   |Location/Inst Name                                                                                                   |
|--------------------------------------------|---------|---------|---------|---------------------------------------------------------------------------------------------------------------------|
|HPLL_ENABLE.U_HPLL_WRAP                     |Add      |10       |1        |../ipcore/Transceiver_10G/rtl/ipm2t_hssthp_Transceiver_10G_hpll_wrapper_v1_6.v:223                                   |
|--------------------------------------------|---------|---------|---------|---------------------------------------------------------------------------------------------------------------------|
|HPLL_ENABLE.U_HPLL_WRAP                     |Add      |10       |1        |../ipcore/Transceiver_10G/rtl/ipm2t_hssthp_Transceiver_10G_hpll_wrapper_v1_6.v:236                                   |
|--------------------------------------------|---------|---------|---------|---------------------------------------------------------------------------------------------------------------------|
|RXLANE0_ENABLE.rxlane_fsm0                  |Add      |28       |1        |../ipcore/Transceiver_10G/rtl/ipm2t_hssthp_rst/ipm2t_hssthp_rxlane_rst_fsm_v1_5b.v:324                               |
|--------------------------------------------|---------|---------|---------|---------------------------------------------------------------------------------------------------------------------|
|SYNC_RXLANE[0].cdr_align_deb                |Add      |12       |1        |../ipcore/Transceiver_10G/rtl/ipm2t_hssthp_rst/ipm2t_hssthp_rst_debounce_v1_0.v:57                                   |
|--------------------------------------------|---------|---------|---------|---------------------------------------------------------------------------------------------------------------------|
